[DEBUG] 2018-02-15 21:10:45.467 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2018-02-15 21:10:45.480 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2018-02-15 21:10:45.486 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2018-02-15 21:10:45.628 [main] Version - HHH000412: Hibernate Core {5.2.12.Final}
[INFO ] 2018-02-15 21:10:45.630 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2018-02-15 21:10:45.719 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2018-02-15 21:10:45.720 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2018-02-15 21:10:45.727 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2018-02-15 21:10:46.020 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2018-02-15 21:10:46.060 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2018-02-15 21:10:46.083 [main] Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[DEBUG] 2018-02-15 21:10:46.118 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1807f5a7
[DEBUG] 2018-02-15 21:10:46.118 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1807f5a7
[DEBUG] 2018-02-15 21:10:46.118 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1807f5a7
[DEBUG] 2018-02-15 21:10:46.119 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7dfd3c81
[DEBUG] 2018-02-15 21:10:46.121 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@169bb4dd
[DEBUG] 2018-02-15 21:10:46.122 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@d23e042
[DEBUG] 2018-02-15 21:10:46.124 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2254127a
[DEBUG] 2018-02-15 21:10:46.125 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2254127a
[DEBUG] 2018-02-15 21:10:46.125 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2254127a
[DEBUG] 2018-02-15 21:10:46.126 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@14bdbc74
[DEBUG] 2018-02-15 21:10:46.127 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@14bdbc74
[DEBUG] 2018-02-15 21:10:46.127 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@14bdbc74
[DEBUG] 2018-02-15 21:10:46.129 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@24c1b2d2
[DEBUG] 2018-02-15 21:10:46.129 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@24c1b2d2
[DEBUG] 2018-02-15 21:10:46.129 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@24c1b2d2
[DEBUG] 2018-02-15 21:10:46.131 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@465232e9
[DEBUG] 2018-02-15 21:10:46.131 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@465232e9
[DEBUG] 2018-02-15 21:10:46.131 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@465232e9
[DEBUG] 2018-02-15 21:10:46.133 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5efa40fe
[DEBUG] 2018-02-15 21:10:46.134 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5efa40fe
[DEBUG] 2018-02-15 21:10:46.134 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5efa40fe
[DEBUG] 2018-02-15 21:10:46.136 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@f58853c
[DEBUG] 2018-02-15 21:10:46.136 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@f58853c
[DEBUG] 2018-02-15 21:10:46.136 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@f58853c
[DEBUG] 2018-02-15 21:10:46.139 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@13d73f29
[DEBUG] 2018-02-15 21:10:46.140 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@13d73f29
[DEBUG] 2018-02-15 21:10:46.140 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@13d73f29
